date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2010-06-23,0.036,0.0304,-0.2356,0.0131,2
2010-06-24,0.0252,0.0213,-0.1885,0.0112,0
2010-06-25,0.0176,0.0149,-0.1508,0.0095,0
2010-06-26,0.0471,-0.0034,-0.1206,0.0081,2
2010-06-27,0.033,-0.0024,-0.0965,0.0069,0
2010-06-28,0.804,-0.0017,0.6341,0.0058,2
2010-06-29,0.5628,0.0239,0.5073,0.005,1
2010-06-30,0.394,0.0167,0.4058,0.0042,0
2010-07-01,0.2758,0.0117,0.0986,0.0036,1
2010-07-02,-0.8604,0.0082,-0.0326,0.003,3
2010-07-03,-0.4714,0.0057,-0.0261,0.0026,2
2010-07-04,0.0613,0.004,-0.0209,0.0022,1
2010-07-05,0.1825,0.0028,-0.9419,-0.4957,3
2010-07-06,0.1278,0.002,-0.7535,-0.4213,0
2010-07-07,-0.9327,0.0014,0.8526,-0.3581,2
2010-07-08,0.6287,0.001,0.6821,-0.3044,1
2010-07-09,0.7275,-0.0042,0.5457,-0.2588,2
2010-07-10,0.5777,0.4008,0.4365,-0.2199,2
2010-07-11,0.4044,0.2806,0.3492,-0.187,0
2010-07-12,0.2831,0.1964,0.2794,-0.1589,0
2010-07-13,-0.1618,0.1375,0.2235,-0.1351,1
2010-07-14,-0.1133,0.0962,0.1788,-0.1148,0
2010-07-15,0.1558,0.0674,0.143,-0.0976,1
2010-07-16,-0.9349,0.0472,0.0365,0.7751,3
2010-07-17,-0.6544,0.033,0.396,0.6588,1
2010-07-18,-0.4581,0.0231,0.3168,0.56,0
2010-07-19,0.5661,-0.074,0.2534,0.476,2
2010-07-20,0.7733,-0.0518,0.2028,0.4046,1
2010-07-21,0.3593,-0.0363,0.1622,0.3439,3
2010-07-22,0.2515,-0.0254,-0.9435,0.2923,1
2010-07-23,-0.9028,-0.0178,-0.7548,0.2485,1
2010-07-24,-0.632,-0.0124,0.6004,0.2112,1
2010-07-25,-0.4424,-0.0087,0.4803,0.1795,0
2010-07-26,-0.3097,-0.0115,0.3843,0.1526,1
2010-07-27,-0.2168,-0.008,0.3074,0.1297,0
2010-07-28,-0.1517,-0.4819,0.2459,0.0473,2
2010-07-29,-0.4583,-0.6441,0.1967,0.0439,3
2010-07-30,-0.3208,-0.4509,0.1574,0.0373,0
2010-07-31,0.9219,0.918,-0.2918,0.0317,3
2010-08-01,0.6453,-0.9027,-0.2334,0.027,1
2010-08-02,-0.1763,-0.6319,-0.9083,0.0229,2
2010-08-03,-0.1234,-0.0966,-0.7266,0.0195,1
2010-08-04,-0.15,-0.0676,-0.9127,0.0166,2
2010-08-05,-0.105,-0.0473,-0.7302,0.0141,0
2010-08-06,-0.0735,-0.1108,-0.1938,0.012,3
2010-08-07,0.0655,-0.0775,-0.155,0.0102,2
2010-08-08,0.0458,0.056,-0.124,0.0086,1
2010-08-09,-0.0054,-0.9435,-0.9409,0.0073,3
2010-08-10,-0.0038,0.3982,-0.7527,0.0335,2
2010-08-11,-0.0026,0.2787,-0.6022,0.0285,0
2010-08-12,-0.0019,0.1951,-0.4817,-0.0058,1
2010-08-13,-0.0013,0.1823,0.8229,-0.0049,2
2010-08-14,-0.0009,-0.0048,0.6583,-0.0042,3
2010-08-15,-0.0006,0.2266,0.5267,-0.0036,2
2010-08-16,-0.0004,0.1587,0.4213,-0.003,0
2010-08-17,0.0356,0.2142,0.3371,-0.0026,2
2010-08-18,0.0249,-0.5239,-0.0771,-0.0022,3
2010-08-19,0.0174,-0.6332,-0.0617,-0.0019,1
2010-08-20,0.0122,-0.4432,-0.0493,-0.0016,0
2010-08-21,0.0085,-0.3103,-0.0395,-0.0013,0
2010-08-22,0.006,-0.2172,-0.0316,-0.0011,0
2010-08-23,0.0042,-0.152,-0.0253,-0.001,0
2010-08-24,-0.4785,-0.1064,-0.0202,-0.0008,2
