date,sentiment_corporate,has_corporate,sentiment_energy,has_energy,sentiment_forex,has_forex,sentiment_macro,has_macro,news_count
2010-09-04,-0.8777,1.0,0.1313,1.0,0.0,0.0,0.0,0.0,2
2010-09-05,0.0,0.0,-0.938,1.0,0.0,0.0,0.0,0.0,2
2010-09-07,0.0,0.0,0.0107,1.0,0.0,0.0,0.0,0.0,1
2010-09-08,0.0,0.0,0.1065,1.0,0.0,0.0,0.0,0.0,1
2010-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0513,1.0,1
2010-09-14,0.0,0.0,0.0126,1.0,0.0,0.0,0.0,0.0,1
2010-09-16,0.0,0.0,0.24810000000000001,1.0,0.0,0.0,0.0,0.0,3
2010-09-19,0.0,0.0,-0.07183333333333332,1.0,0.0,0.0,0.0,0.0,3
2010-09-20,0.0,0.0,0.1164,1.0,0.0,0.0,0.0,0.0,1
2010-09-22,0.0,0.0,-0.9033,1.0,0.0,0.0,0.0,0.0,1
2010-09-23,0.0,0.0,-0.5385,1.0,0.0,0.0,0.0,0.0,1
2010-09-24,0.0,0.0,0.139,1.0,0.0,0.0,0.0,0.0,1
2010-09-25,0.0,0.0,0.5883,1.0,0.0,0.0,0.0,0.0,1
2010-09-26,0.0,0.0,0.7649,1.0,0.0,0.0,0.0,0.0,1
2010-09-27,0.0,0.0,0.0695,1.0,0.0,0.0,0.0,0.0,1
2010-09-28,0.0,0.0,0.4579,1.0,0.0,0.0,0.0,0.0,2
2010-09-30,0.0,0.0,0.33876666666666666,1.0,0.0,0.0,0.0,0.0,3
2010-10-01,0.0,0.0,0.18225,1.0,0.0,0.0,0.0,0.0,2
2010-10-03,0.0,0.0,0.7855,1.0,0.0,0.0,0.0,0.0,1
2010-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,1.0,1
2010-10-05,0.0,0.0,0.0471,1.0,0.0,0.0,0.0,0.0,1
2010-10-07,0.0,0.0,0.0168,1.0,0.0,0.0,0.0,0.0,1
2010-10-09,0.0,0.0,-0.5031,1.0,0.0,0.0,0.0,0.0,1
2010-10-10,0.0,0.0,-0.20665,1.0,0.0,0.0,0.0,0.0,2
2010-10-12,0.0,0.0,0.43274999999999997,1.0,0.0,0.0,-0.0753,1.0,3
2010-10-13,0.2543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010-10-14,0.0,0.0,0.1474,1.0,0.0,0.0,0.0,0.0,1
2010-10-15,0.0,0.0,0.4815,1.0,0.0,0.0,0.0,0.0,1
2010-10-16,0.0,0.0,0.015224999999999989,1.0,0.0,0.0,0.0,0.0,4
