date,sentiment_score,article_count,positive_count,negative_count,neutral_count,sentiment_label,macro_pakistan_score,psx_market_score,energy_oil_score,banking_finance_score,geopolitical_global_score,political_stability_score,pakistani_media_score,international_media_pakistan_score,psx_official_corporate_score,sector_specific_score
2010-04-19,0.048299999999999996,2,0,0,2,neutral,0.0364,0.0,0.0602,0.1229,0.0,0.0,0.105,-0.2739,0.0,0.0
2010-04-20,0.041,1,0,0,1,neutral,0.0364,0.0,0.0602,0.1229,0.0,0.0,0.105,0.041,0.0,0.0
2010-04-21,0.2446,1,0,0,1,neutral,0.0364,0.0,0.0602,0.1229,0.0,0.0,0.2446,0.041,0.0,0.0
2010-04-22,0.11975,2,0,0,2,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.2446,0.041,0.0,0.0
2010-04-23,0.0031,1,0,0,1,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.2446,0.0031,0.0,0.0
2010-04-24,0.0031,0,0,0,0,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.2446,0.0031,0.0,0.0
2010-04-25,0.0031,0,0,0,0,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.2446,0.0031,0.0,0.0
2010-04-26,0.08355,2,0,0,2,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.1423,0.0248,0.0,0.0
2010-04-27,0.0322,1,0,0,1,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.1423,0.0322,0.0,0.0
2010-04-28,0.19,1,0,0,1,neutral,0.11975,0.0,0.0602,0.1229,0.0,0.0,0.1423,0.19,0.0,0.0
2010-04-29,0.07705,2,0,0,2,neutral,0.11975,0.0,0.0126,0.1229,0.0,0.0,0.1415,0.19,0.0,0.0
2010-04-30,0.49424999999999997,2,2,0,0,positive,0.11975,0.0,0.49424999999999997,0.1229,0.0,0.0,0.1415,0.19,0.0,0.0
2010-05-01,0.49424999999999997,0,0,0,0,positive,0.11975,0.0,0.49424999999999997,0.1229,0.0,0.0,0.1415,0.19,0.0,0.0
2010-05-02,0.49424999999999997,0,0,0,0,positive,0.11975,0.0,0.49424999999999997,0.1229,0.0,0.0,0.1415,0.19,0.0,0.0
2010-05-03,-0.27144999999999997,4,0,2,2,negative,0.11975,0.0,0.49424999999999997,0.1229,0.0,0.0,0.04215,-0.58505,0.0,0.0
2010-05-04,-0.024666666666666667,3,0,0,3,neutral,0.11975,0.0,0.49424999999999997,0.1229,0.0,0.0,-0.0084,-0.032799999999999996,0.0,0.0
2010-05-05,-0.006900000000000001,5,0,0,5,neutral,0.11975,0.0,0.49424999999999997,0.1229,0.0,0.0,-0.0084,-0.006900000000000001,0.0,0.0
2010-05-06,0.0298,1,0,0,1,neutral,0.11975,0.0,0.0298,0.1229,0.0,0.0,-0.0084,-0.006900000000000001,0.0,0.0
2010-05-07,-0.22079999999999997,3,0,1,2,neutral,0.11975,0.0,0.0298,0.1229,0.0,0.0,-0.0084,-0.22079999999999997,0.0,0.0
2010-05-08,-0.22079999999999997,0,0,0,0,neutral,0.11975,0.0,0.0298,0.1229,0.0,0.0,-0.0084,-0.22079999999999997,0.0,0.0
2010-05-09,-0.22079999999999997,0,0,0,0,neutral,0.11975,0.0,0.0298,0.1229,0.0,0.0,-0.0084,-0.22079999999999997,0.0,0.0
2010-05-10,-0.0735,6,0,1,5,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.026500000000000003,-0.24629999999999996,0.0,0.0
2010-05-11,0.2606,1,0,0,1,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.2606,-0.24629999999999996,0.0,0.0
2010-05-12,0.3058,1,0,0,1,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.3058,-0.24629999999999996,0.0,0.0
2010-05-13,-0.1693,1,0,0,1,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.3058,-0.1693,0.0,0.0
2010-05-14,-0.0948,2,0,0,2,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,-0.0113,-0.1783,0.0,0.0
2010-05-15,-0.0948,0,0,0,0,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,-0.0113,-0.1783,0.0,0.0
2010-05-16,-0.0948,0,0,0,0,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,-0.0113,-0.1783,0.0,0.0
2010-05-17,0.04235,8,0,0,8,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.025566666666666668,0.05242,0.0,0.0
2010-05-18,0.1005,1,0,0,1,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.025566666666666668,0.1005,0.0,0.0
2010-05-19,0.06375,2,0,0,2,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.06375,0.1005,0.0,0.0
2010-05-20,0.06545000000000001,2,0,0,2,neutral,0.0167,0.0,-0.0181,0.1229,0.0,0.0,0.201,-0.0701,0.0,0.0
2010-05-21,-0.8416,1,0,1,0,negative,0.0167,0.0,-0.0181,0.1229,0.0,0.0,-0.8416,-0.0701,0.0,0.0
2010-05-22,-0.8416,0,0,0,0,negative,0.0167,0.0,-0.0181,0.1229,0.0,0.0,-0.8416,-0.0701,0.0,0.0
2010-05-23,-0.8416,0,0,0,0,negative,0.0167,0.0,-0.0181,0.1229,0.0,0.0,-0.8416,-0.0701,0.0,0.0
2010-05-24,0.047466666666666664,6,0,0,6,neutral,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.067825,-0.0153,0.0,0.0
